基站NE_ID	发生时间
4000000224528335	2017/11/30 9:00:32
4000000224673673	2017/11/30 9:00:32
3000003400085037	2017/11/30 9:00:58
3000003400086039	2017/11/30 9:01:05
4000000224128453	2017/11/30 9:01:22
3000003400092817	2017/11/30 9:02:34
3000003400090980	2017/11/30 9:04:36
4000000224123178	2017/11/30 9:05:14
3000003400100556	2017/11/30 9:06:46
3000003400102583	2017/11/30 9:06:46
4000000224149136	2017/11/30 9:13:31
4000000224673826	2017/11/30 9:13:32
4000000224589628	2017/11/30 9:13:32
4000000224673817	2017/11/30 9:13:32
4000000224589599	2017/11/30 9:13:32
4000000224589595	2017/11/30 9:14:00
3000003400099516	2017/11/30 9:15:17
1041000700130000	2017/11/30 9:19:23
3000003400090287	2017/11/30 9:21:48
3000003400092552	2017/11/30 9:28:19
3000003400095120	2017/11/30 9:28:19
3000003400102166	2017/11/30 9:28:19
3000003400095118	2017/11/30 9:28:19
3000003400097917	2017/11/30 9:28:19
3000003400101734	2017/11/30 9:28:19
3000003400102719	2017/11/30 9:28:20
3000003400102159	2017/11/30 9:28:20
3000003400102712	2017/11/30 9:28:20
3000003400083719	2017/11/30 9:28:20
3000003400084539	2017/11/30 9:28:20
3000003400102161	2017/11/30 9:28:20
3000003400100533	2017/11/30 9:28:46
3000003400097151	2017/11/30 9:28:47
3000003400089407	2017/11/30 9:28:48
4000000224516256	2017/11/30 9:29:02
4000000224293632	2017/11/30 9:29:02
4000000224666122	2017/11/30 9:32:34
4000000224634810	2017/11/30 9:32:35
4000000224673652	2017/11/30 9:32:35
3000003400102120	2017/11/30 9:32:35
3000003400104190	2017/11/30 9:32:35
3000003400104176	2017/11/30 9:32:55
3000003400102128	2017/11/30 9:33:04
3000003400090462	2017/11/30 9:33:35
3000003400104954	2017/11/30 9:33:50
3000003400096460	2017/11/30 9:35:10
1041000508040000	2017/11/30 9:35:30
4000000224124994	2017/11/30 9:35:45
1043001300630000	2017/11/30 9:39:01
3000003400099630	2017/11/30 9:46:20
4000000224132665	2017/11/30 9:52:34
3000003400094205	2017/11/30 9:52:48
3000003400098742	2017/11/30 9:55:21
1020000403010000	2017/11/30 9:55:38
1041000701370000	2017/11/30 9:56:13
3000003400087851	2017/11/30 9:59:35
4000000224150077	2017/11/30 9:59:59
3000003400104945	2017/11/30 10:00:19
3000003400098902	2017/11/30 10:00:21
3000003400084915	2017/11/30 10:02:20
3000003400104942	2017/11/30 10:02:55
4000000224340501	2017/11/30 10:07:34
3000003400092350	2017/11/30 10:08:20
3000003400096164	2017/11/30 10:08:20
3000003400102733	2017/11/30 10:12:36
3000003400102620	2017/11/30 10:13:04
3000003400090901	2017/11/30 10:13:04
4000000224294566	2017/11/30 10:13:34
3000003400102405	2017/11/30 10:13:37
3000003400102258	2017/11/30 10:14:04
3000003400103221	2017/11/30 10:14:20
3000003400098847	2017/11/30 10:16:53
3000003400088553	2017/11/30 10:17:50
4000000224350435	2017/11/30 10:17:51
3000002501080000	2017/11/30 10:18:08
3000003400088778	2017/11/30 10:18:25
4000000224590072	2017/11/30 10:19:32
4000000224589800	2017/11/30 10:19:32
3000003400087067	2017/11/30 10:19:52
3000003400099447	2017/11/30 10:23:22
3000003400087815	2017/11/30 10:23:35
3000003400098955	2017/11/30 10:23:51
3000003400100382	2017/11/30 10:23:51
3000003400101637	2017/11/30 10:23:51
3000003400099302	2017/11/30 10:23:52
3000003400099041	2017/11/30 10:23:52
3000003400100665	2017/11/30 10:23:53
4000000224150066	2017/11/30 10:24:00
3000003400087822	2017/11/30 10:24:03
3000003400087823	2017/11/30 10:24:03
3000003400087819	2017/11/30 10:24:03
4000000224625250	2017/11/30 10:24:19
3000003400101021	2017/11/30 10:24:24
3000003400099567	2017/11/30 10:24:24
3000003400102455	2017/11/30 10:24:52
3000003400101030	2017/11/30 10:24:53
3000003400098785	2017/11/30 10:24:53
3000003400098790	2017/11/30 10:24:53
3000003400098772	2017/11/30 10:24:53
3000003400098738	2017/11/30 10:24:53
3000003400098729	2017/11/30 10:24:54
3000003400102413	2017/11/30 10:24:54
3000003400102459	2017/11/30 10:24:54
3000003400101841	2017/11/30 10:24:54
4000000224674131	2017/11/30 10:25:34
3000003400099252	2017/11/30 10:25:53
3000003400099257	2017/11/30 10:25:53
3000003400101554	2017/11/30 10:25:54
3000003400090549	2017/11/30 10:28:35
3000003400086664	2017/11/30 10:28:35
3000003400102343	2017/11/30 10:29:03
3000003400099273	2017/11/30 10:30:25
4000000224149022	2017/11/30 10:31:01
4000000224127727	2017/11/30 10:31:34
4000000224566304	2017/11/30 10:31:35
3000003400094927	2017/11/30 10:32:20
4000000224151928	2017/11/30 10:32:34
4000000224134960	2017/11/30 10:32:50
3000003400098780	2017/11/30 10:32:51
3000003400098836	2017/11/30 10:32:52
3000003400102123	2017/11/30 10:33:35
3000002600460000	2017/11/30 10:34:34
3000003400098647	2017/11/30 10:36:20
3000003400103180	2017/11/30 10:39:16
